;H1-1;H1-2;H1-3;H2-1;H2-2;H2-3;H3-1;H3-2;H3-3
A0A3Q2HIF9;0;0;0;0;0;0;1;0;1
A0A3Q2HIK6;1;1;1;1;1;1;1;1;1
A0A3Q2HIL7;1;1;1;1;1;1;1;1;1
A0A3Q2HIQ3;1;1;1;1;1;1;0;0;1
A0A3Q2HIU2;1;1;1;1;1;0;1;0;0
A0A3Q2HIW9;1;1;1;1;0;1;0;0;0
A0A3Q2HIY4;1;1;1;1;1;1;1;0;0
A0A3Q2HIZ6;1;1;1;1;1;1;1;1;1
A0A3Q2HJD2;1;1;1;1;1;1;0;1;0
A0A3Q2HJE7;1;1;1;1;1;1;1;1;1
A0A3Q2HJF2;1;1;1;1;1;1;1;1;1
A0A3Q2HJG0;1;1;1;1;1;1;0;0;0
A0A3Q2HJT9;1;1;1;1;1;1;1;1;1
A0A3Q2HJZ9;1;1;1;1;1;1;1;1;1
A0A3Q2HK02;1;1;1;1;0;0;1;0;1
A0A3Q2HK14;1;1;1;1;1;1;1;1;1
A0A3Q2HK96;1;1;1;1;1;1;1;1;0
A0A3Q2HKM4;1;1;1;1;1;1;1;1;1
A0A3Q2HKM5;1;1;1;1;1;1;1;1;1
A0A3Q2HL03;1;1;1;1;1;1;1;1;1
A0A3Q2HL26;1;1;1;1;1;1;0;1;1
A0A3Q2HL41;1;1;1;1;1;1;1;1;1
A0A3Q2HL45;1;1;1;1;1;1;0;1;1
A0A3Q2HL53;1;1;1;1;1;1;0;0;0
A0A3Q2HL64;1;1;1;1;1;1;1;1;1
A0A3Q2HLI5;0;0;0;0;0;0;1;1;1
A0A3Q2HLJ4;1;1;1;1;1;1;1;1;1
A0A3Q2HLV9;1;1;1;1;1;1;1;1;1
A0A3Q2HLX7;1;1;1;1;1;1;1;1;1
A0A3Q2HLY5;1;1;1;1;1;1;1;1;1
A0A3Q2HM18;1;1;1;1;1;1;1;1;1
A0A3Q2HMA3;1;1;1;1;0;1;0;0;0
A0A3Q2HMC6;1;1;1;1;1;1;0;1;1
A0A3Q2HMF1;1;1;1;1;1;1;1;1;1
A0A3Q2HMJ0;1;1;1;1;1;1;1;1;1
A0A3Q2HMJ3;1;1;1;1;1;1;1;1;1
A0A3Q2HMM5;1;1;1;1;0;1;0;1;0
A0A3Q2HMR3;1;1;1;1;1;1;1;1;1
A0A3Q2HMR5;1;1;1;1;1;1;1;1;1
A0A3Q2HN21;1;1;0;0;0;0;1;1;1
A0A3Q2HN97;1;1;1;1;1;1;1;0;0
A0A3Q2HNB9;1;1;1;1;1;1;1;1;1
A0A3Q2HND7;1;1;1;1;1;1;1;1;1
A0A3Q2HNE1;1;1;1;1;1;1;1;1;1
A0A3Q2HNH0;1;1;1;1;1;1;1;1;1
A0A3Q2HNH8;1;1;1;0;1;0;1;0;1
A0A3Q2HNI5;1;1;1;1;1;1;0;1;0
A0A3Q2HNK3;1;1;1;1;1;1;0;0;0
A0A3Q2HP00;1;1;1;1;1;1;1;1;1
A0A3Q2HP43;1;1;1;1;1;1;1;1;1
A0A3Q2HP50;1;1;1;1;1;1;1;1;1
A0A3Q2HP89;1;1;1;1;1;1;1;1;1
A0A3Q2HPC0;1;1;1;1;1;1;1;1;1
A0A3Q2HPI8;1;1;1;1;1;1;1;1;1
A0A3Q2HPV9;1;1;1;1;1;1;1;1;1
A0A3Q2HPW2;1;1;1;1;1;1;1;1;1
A0A3Q2HPX3;1;1;1;1;1;1;1;1;1
A0A3Q2HPZ0;1;1;1;1;1;1;1;1;0
A0A3Q2HQ88;1;1;1;1;1;1;0;1;0
A0A3Q2HQI2;1;1;1;1;1;1;0;0;0
A0A3Q2HQJ4;0;1;0;1;0;0;0;0;0
A0A3Q2HQZ9;1;1;1;1;1;1;1;1;1
A0A3Q2HR60;1;1;1;1;1;1;1;1;1
A0A3Q2HR96;1;1;1;1;1;1;1;1;1
A0A3Q2HR97;1;1;1;1;1;0;1;1;1
A0A3Q2HRF8;1;1;1;1;1;1;1;1;1
