;P7 VLU heel;P8 VLU heel;P9 VLU heel;P10 VLU heel;P11 VLU heel;P12 VLU heel 
P042597786P025387786P486687786;1;0;0;0;0;0
P04264559588;0;0;0;0;0;1
P0427515531564;0;1;0;0;0;0
P04406106118;1;0;0;0;0;0
P044065780;0;1;0;0;0;0
P0440695118;0;0;1;0;0;0
P04792154188;0;0;1;0;0;0
P047926475;0;0;0;0;0;1
P04899109129;0;1;0;0;0;0
P04921111123;1;0;0;0;0;0
P05198151173;0;1;0;0;0;0
P052046090;0;0;0;1;0;0
P05362213225;0;1;0;0;0;0
P05388190214;1;0;0;0;0;0
P05388194214;0;0;0;0;0;1
P05452123151;0;0;0;1;0;0
P0545292101;0;1;0;0;0;0
P054966269;0;0;0;0;0;1
P05783359381;1;0;0;0;0;0
P05787287301;0;0;0;0;0;1
P063102044;1;0;0;0;0;0
P06331112123;0;0;0;0;0;1
P063318092;0;1;0;0;0;0
P06396177188;0;1;0;0;0;0
P06396631652;0;0;0;0;0;1
P06396701729;0;0;0;0;1;0
P06396709729;0;1;0;0;0;0
P0639677104;0;1;0;0;0;0
P06576393406;0;0;0;0;0;1
P06681299314;0;1;0;0;0;0
P067027385P067027385;0;0;1;0;0;0
P06727244255;0;1;0;0;0;0
P06733166179;0;0;0;0;0;1
P06733243253;0;0;1;0;0;0
P07196285299;0;0;0;0;0;1
P07237321338;0;1;0;0;0;0
P07357425438;0;0;0;0;0;1
P07358357367;0;0;0;0;0;1
P073841622;0;0;1;0;0;0
P074372546;0;0;0;0;0;1
P07437420444;0;0;0;1;0;0
P07585187206;0;1;0;0;0;0
P07585224235;0;0;0;1;0;0
P075852744;0;0;1;0;0;0
P07585271283;0;0;0;0;0;1
P07602194213;0;0;0;0;0;1
P07686261272;0;0;0;0;0;1
P07738219227;1;0;0;0;0;0
P0773887100;0;0;0;1;0;0
P07900189201P08238184196;0;0;0;1;0;0
P07900285299P08238277291;0;0;1;0;0;0
P07900330338P08238322330;0;0;0;0;0;1
P07942556573;0;1;0;0;0;0
P07951141160;0;1;0;0;0;0
P07954431444;0;0;0;0;0;1
P079545574;0;1;0;0;0;0
P0812312791307;0;1;0;0;0;0
P0812312931307;0;1;0;0;0;0
P08123273282699708;0;0;0;1;0;0
P08123424432;0;0;1;0;0;0
P08123629645P08123629645;1;0;0;0;0;0
P082538198;0;1;0;0;0;0
P08294115152;0;0;1;0;0;0
P08294126152P08294126152;1;0;0;0;0;0
P08648567581;0;0;0;0;0;1
P08670121145;1;0;0;0;0;0
P08670136145;0;1;0;0;0;0
P08670322337;0;0;0;0;0;1
P0867086100;0;0;0;1;0;0
P08697352366;0;0;1;0;0;0
P08727321330;0;1;0;0;0;0
P087275590;1;0;0;0;0;0
P08779308330;0;0;0;0;0;1
P0921191101;0;0;0;0;0;1
P093826274;0;0;0;0;0;1
P09486247256;0;1;0;0;0;0
P094976995;0;0;0;0;0;1
P094977895;0;0;0;0;0;1
P09622474482;0;1;0;0;0;0
P096512431;0;1;0;0;0;0
P09871527534;0;1;0;0;0;0
P09936166178;0;1;0;0;0;0
P09960528536;0;1;0;0;0;0
P09972271289;0;0;0;0;1;0
P0C0L410101026P0C0L510101026;0;0;0;0;1;0
P0C0L411091126;0;1;0;0;0;0
P0C0L4442459P0C0L5442459;0;0;1;0;0;0
P0C0L4445459P0C0L5445459;0;1;0;0;0;0
P0C0L4648664P0C0L5648664;0;1;0;0;0;0
P0C0L4945954P0C0L5945954;0;0;0;0;0;1
P0C0L49831005P0C0L59831005;0;1;0;0;0;0
P0C6P0921;1;0;0;0;0;0
P0DMV9211236P34931213238;0;1;0;0;0;0
P0DMV96072;0;0;0;0;0;1
P0DMV9604641;0;0;1;0;0;0
P10155474484;0;0;0;0;0;1
P10253513527;0;1;0;0;0;0
P104126079Q025396382;0;0;0;0;0;1
P10515145155;0;0;0;0;0;1
P106066374;0;1;0;0;0;0
P106361223;1;0;0;0;0;0
P10636151164;0;1;0;0;0;0
P106435677;0;1;0;0;0;0
P107686286;0;1;0;0;0;0
P10809398420;0;1;0;0;0;0
P10809504526;0;0;0;0;0;1
P10909359371;0;1;0;0;0;0
P10909363371;0;1;0;0;0;0
P11021243261;0;1;0;0;0;0
P1104712281234Q99996170176;0;0;0;0;0;1
P11047153165;0;1;0;0;0;0
P11047179191;0;0;0;0;0;1
P11142135155;0;1;0;0;0;0
P11142526533;0;0;0;0;0;1
P11177233242;1;0;0;0;0;0
P11233136145;0;1;0;0;0;0
P1127720802106P1127720802106;0;1;0;0;0;0
P117661536;0;1;0;0;0;0
P12107506524;0;0;0;1;0;0
P12109248256;0;0;0;0;0;1
P1210986105;0;1;0;0;0;0
P12109905925P12109905925P12109905925;0;0;1;0;0;0
P12110161179;1;0;0;0;0;0
P121108495;1;0;0;0;0;0
P1211110241041;0;0;0;1;0;0
P1211111001117;1;0;0;0;0;0
P1211111791192;0;0;0;0;0;1
P1211112751301;1;0;0;0;0;0
P1211114321456;0;0;0;0;1;0
P1211114391456;1;0;0;0;0;0
P1211118171847;0;0;1;0;0;0
P1211118961915;0;0;1;0;0;0
P1211119391950;0;0;0;0;0;1
P1211124262441;1;0;0;0;0;0
P1211125502564P1211125502564;0;1;0;0;0;0
P12268391407;0;0;0;0;0;1
P12270505511;0;0;0;0;0;1
P12277160172;0;0;0;0;0;1
P12277166172;0;1;0;0;0;0
P12532116129;0;1;0;0;0;0
P128142534O437074453;0;0;0;0;0;1
P12814250261O43707269280;0;1;0;0;0;0
P128143846O437075765;0;0;0;0;0;1
P12814661672;0;1;0;0;0;0
P12956169185;0;0;0;0;0;1
P12956436444;1;0;0;0;0;0
P12956526543;0;1;0;0;0;0
P130105781;0;0;0;0;0;1
P13611190207;0;1;0;0;0;0
P13639560580;0;0;1;0;0;0
P13639640647;0;1;0;0;0;0
P13645212228;0;0;0;1;0;0
P13645341369;0;0;0;1;0;0
P13645408441;0;0;0;1;0;0
P1364679114;0;0;0;1;0;0
P13647330352;0;0;0;0;0;1
P13647405420;0;0;1;0;0;0
P13667313331;0;1;0;0;0;0
P13667605622;0;1;0;0;0;0
P13671486495;0;0;0;0;0;1
P13674490499;0;0;0;0;0;1
P13693921;0;0;1;0;0;0
P137163655;0;0;1;0;0;0
P13804236249;0;0;0;0;0;1
P143171837;0;0;1;0;0;0
P143174248;0;0;0;0;1;0
P1454310081017;0;0;0;0;0;1
P1454311771194;0;1;0;0;0;0
P14543525536;0;1;0;0;0;0
P14550191203;0;0;0;0;0;1
P14618354376;0;0;0;0;0;1
P146187792;0;0;0;1;0;0
P14625568587;0;1;0;0;0;0
P14866174189;0;0;0;0;0;1
P14866239246;0;0;0;0;0;1
P14866329343;0;1;0;0;0;0
P14868105121;0;1;0;0;0;0
P14868157171;0;1;0;0;0;0
P149274049;0;1;0;0;0;0
P15088159165;0;1;0;0;0;0
P15088190199;0;1;0;0;0;0
P15170288296;0;0;0;0;0;1
