;One;Two;Three;Four;Five;Six
O75323;1;1;1;1;1;1
P21695;1;0;0;1;1;1
Q10567;1;1;0;1;0;1
P09012;1;1;0;1;0;1
Q9BPW8;1;0;1;0;0;1
Q86UP2;1;1;1;1;1;1
P56381;1;0;1;0;0;1
O95715;1;1;0;1;1;1
P07602;1;1;0;1;1;1
Q14498;1;1;1;0;1;1
Q9UQ80;1;1;1;1;1;1
P12081;1;0;1;1;1;1
P19013;1;1;1;1;1;1
P32455;1;1;1;0;1;1
Q9Y3B4;1;0;0;0;0;1
Q6ZVM7;1;0;0;0;0;1
P98095;1;1;1;1;1;1
P01624;1;1;1;1;0;1
P30048;1;1;1;1;1;1
Q07065;1;1;1;1;1;1
P12270;1;1;1;1;1;1
P07225;1;0;1;1;1;1
P63244;1;1;1;1;0;1
P14735;1;1;1;1;1;1
Q02878;1;1;1;1;1;1
P02724;1;1;1;1;1;1
Q14112;1;1;1;1;0;1
Q14444;1;1;0;1;0;1
Q9UBR2;1;1;1;0;0;1
Q9NSD9;1;1;1;1;1;1
P05997;1;1;1;1;1;1
O43813;1;1;1;1;1;1
Q96TA1;1;1;1;1;1;1
P62333;1;1;1;1;1;1
P54920;1;1;1;1;1;1
P67936;1;1;1;1;1;1
O43852;1;1;0;0;1;1
P43304;1;1;1;0;0;1
P21281;1;1;1;1;1;1
P47897;1;1;1;1;0;1
O96019;1;1;1;1;1;1
Q9UMR2;1;0;1;1;1;1
Q9UNH7;1;1;1;1;1;1
P20674;1;1;1;1;1;1
P30084;1;1;1;1;1;1
P60842;1;1;1;1;1;1
Q07960;1;0;0;0;1;1
O00217;1;1;0;1;0;1
Q9H3K6;1;1;1;0;0;1
P11310;1;1;0;0;0;1
Q9NX63;1;1;1;1;0;1
Q15424;1;1;1;1;1;1
P22695;1;1;0;1;1;1
Q6P597;1;1;1;0;0;1
P22352;1;1;1;0;1;1
P39687;1;1;1;1;1;1
P05546;1;1;1;1;1;1
P29466;1;1;1;0;0;1
Q96CW1;1;0;0;1;0;1
Q9BS26;1;1;1;1;0;1
O00193;1;1;1;0;1;1
P40926;1;1;1;1;1;1
P25788;1;1;1;1;0;1
Q9H444;1;0;0;0;0;1
O43809;1;1;1;1;1;1
P47813;1;1;0;1;1;1
Q9UMY4;1;1;0;1;1;1
Q3ZCM7;1;1;1;1;0;1
P04275;1;1;1;1;1;1
P24752;1;1;1;1;0;1
Q9H0E2;1;1;1;1;0;1
Q96KP4;1;1;1;1;1;1
P61247;1;1;1;1;0;1
P07954;1;1;1;1;0;1
P13861;1;1;1;1;1;1
